name,price,description,stock
"Soup - Clam Chowder, Dry Mix",10.3,approach,40
Compound - Mocha,9.0,middleware,29
Wiberg Cure,77.0,Profound,46
Veal - Kidney,83.3,Switchable,35
Latex Rubber Gloves Size 9,22.5,leading edge,19
Cake - French Pear Tart,60.3,hardware,12
Wine - Casablanca Valley,1.7,demand-driven,19
Liqueur - Melon,79.9,Monitored,13
"Cheese - Brie, Cups 125g",11.9,attitude,14
Chocolate - Dark Callets,99.1,Total,30
Beef Ground Medium,33.5,Profit-focused,18
"Juice - Grapefruit, 341 Ml",20.0,3rd generation,46
Jagermeister,22.2,exuding,35
Sole - Fillet,20.5,heuristic,12
Soup V8 Roasted Red Pepper,59.7,adapter,30
Yoplait - Strawbrasp Peac,63.4,systemic,3
"Red Snapper - Fresh, Whole",90.1,well-modulated,43
Pork - Bones,35.2,Multi-lateral,5
Icecream - Dstk Super Cone,65.6,high-level,29
Chocolate - Liqueur Cups With Foil,34.5,needs-based,21
Oranges,76.9,monitoring,30
Puff Pastry - Sheets,70.4,Organic,37
Bar Special K,88.6,even-keeled,24
Lettuce - Romaine,84.3,forecast,44
Compound - Pear,77.1,orchestration,32
Yoghurt Tubes,86.5,concept,30
Cloves - Ground,55.3,Networked,27
Honey - Liquid,6.3,service-desk,11
Ketchup - Tomato,50.9,uniform,22
Lotus Root,75.3,ability,25
Sponge Cake Mix - Vanilla,42.3,concept,25
Nori Sea Weed,45.9,grid-enabled,24
"Olives - Black, Pitted",92.1,complexity,11
Pie Filling - Pumpkin,12.4,Operative,43
Kohlrabi,76.1,contextually-based,47
Rice - Aborio,68.9,Centralized,32
Beef Wellington,31.0,modular,18
Oranges,24.6,methodology,24
Pie Shell - 9,58.9,Multi-layered,44
Ham - Cooked Italian,56.9,Extended,48
Sauce - Plum,74.5,Multi-tiered,35
Pastry - Baked Cinnamon Stick,80.4,reciprocal,23
Grapes - Red,23.4,portal,17
Bread - Triangle White,25.7,logistical,29
Flower - Commercial Bronze,48.3,initiative,49
Pork - Sausage Casing,33.8,coherent,19
"Cheese - Cheddar, Medium",4.3,circuit,28
"Pork - Loin, Bone - In",81.3,fresh-thinking,3
Maintenance Removal Charge,47.0,Ameliorated,45
Chutney Sauce - Mango,88.8,next generation,37
Soup - Campbells Pasta Fagioli,6.9,24 hour,1
Soup - Campbells Asian Noodle,57.6,intangible,46
Eel Fresh,3.8,clear-thinking,42
Wine - Red Oakridge Merlot,93.5,concept,50
Sprouts - Peppercress,2.8,Operative,45
Pepper - Red Chili,84.0,dedicated,32
Shrimp - Black Tiger 26/30,39.1,hierarchy,45
Onions - Red,14.0,adapter,47
Apricots - Halves,93.4,Exclusive,40
"Asparagus - White, Fresh",44.2,algorithm,5
The Pop Shoppe Pinapple,12.7,6th generation,6
Muffin Mix - Banana Nut,60.2,migration,35
Table Cloth 91x91 Colour,70.2,Versatile,43
Soap - Pine Sol Floor Cleaner,20.4,Polarised,47
"Jam - Strawberry, 20 Ml Jar",90.0,value-added,2
Sherbet - Raspberry,34.8,asynchronous,12
Carbonated Water - Orange,22.6,tertiary,43
Olives - Morracan Dired,67.4,Inverse,17
Frangelico,39.8,Reduced,23
Nutmeg - Ground,65.8,Self-enabling,32
Amaretto,22.4,fresh-thinking,14
"Pork - Back, Long Cut, Boneless",45.2,function,14
Sponge Cake Mix - Chocolate,82.6,Optional,25
Crab - Imitation Flakes,30.0,disintermediate,32
Tea - Decaf Lipton,61.4,client-server,49
Plasticspoonblack,83.2,tangible,4
"Shrimp, Dried, Small / Lb",11.8,Expanded,18
Pasta - Cheese / Spinach Bauletti,74.4,Inverse,25
Dish Towel,42.5,capacity,20
Oneshot Automatic Soap System,87.8,Open-architected,25
"Crab - Dungeness, Whole, live",90.1,systematic,26
Country Roll,9.1,function,44
Honey - Comb,40.0,Reactive,23
Onion Powder,86.0,global,45
"Mushroom - Trumpet, Dry",41.6,fresh-thinking,50
"Trout - Rainbow, Fresh",28.2,Profit-focused,20
Eggroll,62.4,Distributed,34
Tomatoes - Orange,56.6,Re-engineered,26
Wine - Barbera Alba Doc 2001,97.0,Realigned,24
Hog / Sausage Casing - Pork,43.7,Graphic Interface,41
Hog / Sausage Casing - Pork,17.8,core,35
Star Fruit,86.6,Sharable,29
Pepper - Scotch Bonnet,63.7,flexibility,27
"Sole - Dover, Whole, Fresh",36.0,methodology,30
"Wine - Niagara,vqa Reisling",43.9,software,26
"Pasta - Fettuccine, Egg, Fresh",42.5,Virtual,42
V8 Splash Strawberry Banana,67.4,user-facing,43
Hot Choc Vending,62.6,Mandatory,30
Onion - Dried,99.9,Virtual,44
Cardamon Ground,72.6,complexity,35
Cookie Dough - Double,83.0,Synergistic,37
Wine - Barolo Fontanafredda,10.6,uniform,6
Langers - Mango Nectar,6.3,Innovative,42
Green Tea Refresher,25.5,matrices,23
"Wine - Harrow Estates, Vidal",76.6,directional,43
Wine - Hardys Bankside Shiraz,28.6,Enhanced,40
Coffee Guatemala Dark,57.1,secondary,14
Sobe - Berry Energy,10.1,secondary,38
Sping Loaded Cup Dispenser,81.4,motivating,10
Ecolab - Medallion,62.0,model,21
"Potatoes - Instant, Mashed",76.6,Multi-tiered,27
Lettuce - Lolla Rosa,69.8,pricing structure,25
Sausage - Andouille,43.4,matrix,5
Chips Potato All Dressed - 43g,41.2,solution-oriented,3
"Tortillas - Flour, 12",18.3,hardware,50
Beer - Pilsner Urquell,93.6,Ameliorated,19
"Bread - Roll, Calabrese",72.1,tangible,11
Island Oasis - Mango Daiquiri,59.1,Total,30
"Rum - Dark, Bacardi, Black",86.3,Expanded,28
"Cake Circle, Paprus",94.0,User-friendly,14
Beer - Tetleys,11.4,focus group,36
"Wine - White, Antinore Orvieto",95.4,paradigm,40
Calypso - Black Cherry Lemonade,42.3,flexibility,45
White Baguette,33.4,application,47
Pasta - Fusili Tri - Coloured,69.4,Profound,4
Lettuce - Arugula,72.6,static,36
Eggs - Extra Large,52.2,Public-key,40
Scampi Tail,67.3,Reduced,8
"Pasta - Fettuccine, Egg, Fresh",64.1,focus group,29
Milk 2% 500 Ml,25.5,initiative,26
Clams - Bay,50.9,Managed,37
"Marjoram - Dried, Rubbed",70.4,Cross-platform,6
Dish Towel,83.7,foreground,35
Sherry - Dry,33.8,firmware,13
Longos - Grilled Veg Sandwiches,3.8,process improvement,26
Wine - Magnotta - Bel Paese White,53.8,neutral,20
Ham - Proscuitto,71.1,success,22
Sprouts - Alfalfa,69.8,interface,10
Sausage - Meat,71.6,Advanced,29
Soup Campbells Split Pea And Ham,71.9,system engine,30
"Syrup - Monin, Swiss Choclate",13.7,Extended,44
Apron,72.6,Robust,50
Onions - Red,36.3,interface,8
Corn - Mini,79.4,Front-line,3
"Ecolab - Orange Frc, Cleaner",82.2,access,19
Soup Campbells Beef With Veg,68.4,utilisation,12
Creme De Menthe Green,69.7,neural-net,24
French Kiss Vanilla,99.8,encryption,41
"Fish - Halibut, Cold Smoked",4.1,matrix,25
Tea - Lemon Green Tea,51.0,function,42
Muffin Mix - Oatmeal,24.8,Centralized,3
Mayonnaise - Individual Pkg,58.3,Automated,20
Sour Puss - Tangerine,68.0,mission-critical,13
Puree - Guava,51.7,Adaptive,8
External Supplier,72.7,moratorium,9
"Vermacelli - Sprinkles, Assorted",23.0,needs-based,49
Wine - Remy Pannier Rose,43.6,Decentralized,46
Apple - Custard,30.6,user-facing,40
"Cookies - Oreo, 4 Pack",60.0,internet solution,35
Thyme - Fresh,14.4,multi-state,50
"Wine - Red, Metus Rose",92.8,secured line,45
"Pasta - Cannelloni, Sheets, Fresh",45.1,Robust,1
Bag - Regular Kraft 20 Lb,38.2,Cross-platform,25
Island Oasis - Ice Cream Mix,20.7,encompassing,23
Pastry - Baked Scones - Mini,7.8,Organic,7
"Lid - High Heat, Super Clear",32.4,cohesive,42
Pails With Lids,49.2,bi-directional,45
Salmon Atl.whole 8 - 10 Lb,45.5,Vision-oriented,20
Goat - Leg,9.1,product,23
Vodka - Smirnoff,18.0,Synergistic,11
"Beef - Kindney, Whole",95.6,archive,36
Syrup - Kahlua Chocolate,20.2,neural-net,25
"Juice - Pineapple, 48 Oz",35.7,optimizing,47
Table Cloth 72x144 White,16.5,product,22
Blackberries,17.2,Total,16
Ecolab - Medallion,57.1,De-engineered,47
Spice - Montreal Steak Spice,89.2,zero administration,12
Peas - Frozen,51.2,multi-state,5
Tuna - Yellowfin,28.4,next generation,48
Pancetta,24.8,Centralized,38
Wine - Rhine Riesling Wolf Blass,63.8,User-centric,44
"Pasta - Cappellini, Dry",14.8,Automated,37
Rappini - Andy Boy,44.1,Down-sized,24
Potato - Sweet,90.1,pricing structure,49
Dooleys Toffee,52.2,orchestration,42
"Turkey - Breast, Double",85.7,Intuitive,45
"Lemonade - Natural, 591 Ml",66.9,artificial intelligence,35
Cocoa Butter,18.5,contextually-based,46
"Flour - Corn, Fine",11.4,Configurable,49
Initation Crab Meat,22.2,intangible,47
Ecolab Silver Fusion,70.5,moderator,28
"Salmon - Smoked, Sliced",14.0,Integrated,27
Calypso - Black Cherry Lemonade,53.7,Vision-oriented,34
Beer - Maudite,74.0,optimizing,41
Clementine,47.2,Ergonomic,38
Bandage - Fexible 1x3,36.4,4th generation,30
Vegetable - Base,73.2,Profound,30
Bread Foccacia Whole,57.0,Operative,25
"Sparkling Wine - Rose, Freixenet",88.0,Automated,6
Cheese - Brie,54.0,Networked,19
Island Oasis - Banana Daiquiri,94.3,dynamic,7
Pork - Back Ribs,74.3,service-desk,23
Silicone Paper 16.5x24,45.6,background,36
"Pasta - Fusili, Dry",61.2,tertiary,40
Bacardi Raspberry,29.1,Horizontal,2
Melon - Honey Dew,6.6,content-based,18
"Champagne - Brights, Dry",37.4,benchmark,24
Contreau,73.9,interface,41
Water - Spring Water 500ml,1.2,Future-proofed,22
Cheese - Blue,24.7,discrete,18
Absolut Citron,88.6,5th generation,10
Sea Bass - Whole,50.9,systematic,27
Baking Powder,51.0,frame,29
Tea - Green,11.9,policy,45
Hold Up Tool Storage Rack,67.8,orchestration,7
Soup Campbells Beef With Veg,45.1,moderator,37
Rosemary - Fresh,78.7,Monitored,37
Turkey - Ground. Lean,25.1,Multi-channelled,41
Bread - Pumpernickel,99.9,object-oriented,25
"Lemonade - Black Cherry, 591 Ml",63.2,Focused,43
Oil - Sunflower,39.6,task-force,3
Scotch - Queen Anne,51.1,homogeneous,42
"Bag - Bread, White, Plain",37.6,Multi-channelled,11
Cilantro / Coriander - Fresh,84.3,non-volatile,24
Beef - Bresaola,92.3,Synchronised,2
Cup - Translucent 7 Oz Clear,1.4,even-keeled,36
Orange - Tangerine,30.0,task-force,29
"Pork - Sausage, Medium",81.1,contingency,32
Food Colouring - Red,16.5,Fundamental,5
Garlic - Elephant,43.9,foreground,9
"Beef - Ox Tail, Frozen",3.7,De-engineered,13
Corn Shoots,56.9,homogeneous,4
Muffin Batt - Choc Chk,32.0,modular,7
Pepper - Cayenne,60.9,Graphical User Interface,4
Potatoes - Idaho 100 Count,90.2,Persistent,46
Sugar - Invert,10.4,Cross-platform,33
Muffins - Assorted,7.7,Ergonomic,9
Honey - Comb,80.9,knowledge user,20
Nutmeg - Ground,55.2,user-facing,15
Olives - Nicoise,30.3,Object-based,35
Beans - Fine,13.7,Profit-focused,18
Wine - Riesling Dr. Pauly,60.5,intranet,44
Wine - Pinot Noir Pond Haddock,74.8,Versatile,30
Pie Box - Cello Window 2.5,61.8,capacity,11
"Turkey - Breast, Double",5.4,global,11
Parasol Pick Stir Stick,47.0,Organized,11
Cloves - Ground,72.9,functionalities,2
Calypso - Black Cherry Lemonade,20.1,emulation,45
Eggplant Italian,95.7,Sharable,34
Cheese - Fontina,6.5,motivating,24
Lid Coffee Cup 8oz Blk,19.4,Devolved,34
Lettuce - California Mix,21.9,system engine,20
Coffee Swiss Choc Almond,91.9,concept,42
Bar Mix - Lime,21.4,Optional,43
"Wine - White, Chardonnay",26.1,Balanced,48
Ice Cream Bar - Hagen Daz,8.9,Streamlined,35
Tarragon - Fresh,70.8,object-oriented,32
Buffalo - Tenderloin,38.9,Reduced,23
Peppercorns - Green,7.2,data-warehouse,22
Ginger - Crystalized,20.3,firmware,49
Juice - Lime,26.1,context-sensitive,35
"Stock - Chicken, White",3.2,reciprocal,21
Apple - Northern Spy,97.4,Mandatory,20
Towels - Paper / Kraft,12.3,Total,9
Cheese - Stilton,10.4,Team-oriented,30
"Wine - White, Gewurtzraminer",10.8,moderator,3
Glucose,67.0,high-level,3
Worcestershire Sauce,24.9,Re-contextualized,50
"Halibut - Whole, Fresh",83.2,intranet,27
Nori Sea Weed - Gold Label,93.0,Exclusive,48
"Wine - White, Chardonnay",52.0,infrastructure,23
Icecream Cone - Areo Chocolate,32.7,focus group,13
Sprouts - Peppercress,7.6,empowering,43
Cardamon Seed / Pod,58.6,portal,27
Miso Paste White,81.6,paradigm,19
Truffle Shells - White Chocolate,46.5,website,32
Ketchup - Tomato,56.5,core,47
V8 - Vegetable Cocktail,75.7,Cloned,10
Sage Derby,20.5,Persevering,7
"Pail - 4l White, With Handle",27.9,Customer-focused,4
Bacardi Mojito,79.9,stable,23
Strawberries - California,10.9,Open-source,12
Wine - Shiraz South Eastern,22.1,software,30
Pickles - Gherkins,16.7,fresh-thinking,5
Jicama,75.1,open system,4
"Fish - Scallops, Cold Smoked",69.7,workforce,32
Lettuce - Boston Bib - Organic,72.3,24 hour,12
Sauce - Alfredo,99.3,Operative,46
Longos - Chicken Caeser Salad,38.0,User-friendly,48
Grenadillo,3.9,interface,5
Dill Weed - Fresh,4.6,directional,1
Cream - 18%,38.6,Synergistic,38
Crackers - Graham,6.1,data-warehouse,8
"Fish - Atlantic Salmon, Cold",39.9,hybrid,49
Port - 74 Brights,78.2,instruction set,48
Coffee Caramel Biscotti,29.6,bi-directional,34
Dawn Professionl Pot And Pan,19.7,approach,6
Carbonated Water - Raspberry,63.6,structure,38
Wine - Placido Pinot Grigo,47.2,User-friendly,8
Pepper - Jalapeno,39.1,content-based,13
"Beef - Rouladin, Sliced",12.2,dynamic,46
The Pop Shoppe - Black Cherry,83.6,Fundamental,1
"Wine - Red, Mosaic Zweigelt",49.2,bottom-line,48
Hog / Sausage Casing - Pork,9.8,fresh-thinking,23
Cookies Oatmeal Raisin,89.5,moderator,31
"Cod - Salted, Boneless",42.8,Ameliorated,41
Beef - Top Sirloin - Aaa,4.9,exuding,50
Wine - Riesling Alsace Ac 2001,73.5,Programmable,41
"Sole - Dover, Whole, Fresh",70.4,internet solution,27
Higashimaru Usukuchi Soy,7.4,contextually-based,6
Cheese - Feta,42.9,Customer-focused,23
Dates,96.1,high-level,26
Cake Sheet Combo Party Pack,48.7,dedicated,15
"Doilies - 7, Paper",52.9,empowering,33
Lettuce - Baby Salad Greens,67.9,eco-centric,8
"Wine - White, Concha Y Toro",57.6,paradigm,10
Pork - Back Ribs,58.6,toolset,9
Appetizer - Chicken Satay,50.1,local,9
Island Oasis - Sweet And Sour Mix,27.4,regional,32
Bandage - Finger Cots,82.7,adapter,8
Lobster - Tail 6 Oz,79.7,productivity,21
Nantucket - Pomegranate Pear,46.9,toolset,13
"Star Anise, Whole",10.7,dynamic,6
Sunflower Seed Raw,81.9,contextually-based,28
Breadfruit,71.7,Advanced,38
"Cheese - Havarti, Roasted Garlic",80.2,Function-based,2
"Lemonade - Kiwi, 591 Ml",10.3,orchestration,22
"Pepsi - Diet, 355 Ml",97.6,hub,20
"Pasta - Gnocchi, Potato",80.1,6th generation,45
"Soup - Campbells, Classic Chix",31.2,logistical,32
Beer - Mill St Organic,65.0,Team-oriented,30
Curry Powder Madras,42.7,Networked,10
Sauce - Chili,56.3,moratorium,14
"Octopus - Baby, Cleaned",26.6,secondary,20
Flour - Fast / Rapid,8.3,application,10
"Bread - Pumpernickle, Rounds",82.3,matrix,23
Yogurt - French Vanilla,98.0,responsive,30
Soup - Campbells,75.1,migration,36
Coffee - 10oz Cup 92961,49.6,solution,19
Squash - Pepper,56.5,heuristic,35
"Bread - Roll, Whole Wheat",26.6,projection,29
Halibut - Fletches,91.9,encoding,21
Garbage Bags - Black,56.0,artificial intelligence,43
Clams - Bay,24.1,Sharable,39
Sauce - Hollandaise,81.7,process improvement,43
Ecolab - Lime - A - Way 4/4 L,27.1,algorithm,14
"Marsala - Sperone, Fine, D.o.c.",93.9,User-centric,39
Coriander - Ground,18.4,content-based,42
Wine - Malbec Trapiche Reserve,32.1,artificial intelligence,25
"Vinegar - Balsamic, White",69.1,Down-sized,42
Muffin - Banana Nut Individual,32.2,solution,5
Trout - Smoked,93.9,exuding,34
Butter Sweet,54.3,Front-line,3
Foam Dinner Plate,11.0,Universal,16
Plate Pie Foil,31.0,extranet,43
Gatorade - Fruit Punch,9.3,attitude,40
Poppy Seed,74.6,benchmark,4
Chocolate Bar - Reese Pieces,40.9,directional,38
Wine - Mondavi Coastal Private,28.2,alliance,36
Beer - Corona,67.3,client-driven,34
Chips Potato All Dressed - 43g,6.7,interactive,18
Kohlrabi,48.1,Quality-focused,7
Oyster - In Shell,63.2,bi-directional,8
Plasticspoonblack,62.9,global,22
"Pepper - Chillies, Crushed",92.3,productivity,27
"Salmon - Atlantic, Skin On",7.7,framework,29
"Wine - White, Chardonnay",24.4,emulation,10
Island Oasis - Strawberry,31.8,Organized,1
Calypso - Black Cherry Lemonade,78.9,Decentralized,33
Island Oasis - Raspberry,8.3,Cross-platform,31
"Bread - Crumbs, Bulk",52.1,contextually-based,33
Cup - 4oz Translucent,75.3,Cross-platform,24
Shiro Miso,66.6,reciprocal,24
Scallops - Live In Shell,53.8,encompassing,31
"Chocolate - Semi Sweet, Calets",56.6,superstructure,33
Beer - Camerons Cream Ale,31.3,analyzing,25
Appetizer - Sausage Rolls,11.8,background,39
Corn - Mini,3.1,high-level,29
"Fish - Atlantic Salmon, Cold",40.9,scalable,7
Pork Casing,89.9,human-resource,19
"Bread - Pumpernickle, Rounds",60.0,complexity,25
Ham - Procutinni,32.6,tangible,39
Lid Coffeecup 12oz D9542b,23.5,Persistent,40
Flower - Carnations,79.9,full-range,39
Honey - Lavender,34.2,framework,43
Cornish Hen,97.3,help-desk,26
"Pepper - Chipotle, Canned",45.4,Phased,42
Nantucket - Carrot Orange,80.0,Networked,43
Dehydrated Kelp Kombo,76.4,Multi-layered,25
Mace Ground,43.1,Object-based,20
Wine - Kwv Chenin Blanc South,23.0,Optional,10
Puree - Pear,71.0,Reverse-engineered,10
Beer - Molson Excel,69.3,task-force,14
Pepper - Chilli Seeds Mild,63.0,Organized,37
"Pepper - Black, Ground",12.4,24/7,12
"Placemat - Scallop, White",93.9,Decentralized,47
Tequila Rose Cream Liquor,85.2,Graphic Interface,13
Pasta - Agnolotti - Butternut,84.1,hierarchy,35
Clam Nectar,43.3,Centralized,39
Sage - Ground,5.1,definition,11
Lamb - Rack,75.4,Re-engineered,8
Lotus Leaves,40.8,global,30
Myers Planters Punch,55.5,value-added,33
Cake Slab,94.0,motivating,43
Ice Cream - Strawberry,19.6,hardware,46
Lamb - Rack,18.7,human-resource,40
Instant Coffee,55.0,Polarised,47
